9AHS6AHS2AHS0,Rayaner,7IPH,QYI4,QYI4,162,1825,2000-01-01 02:30:00,2000-01-01 09:00:00
9ZQV8ZQV6ZQV1,Rayaner,SN2Q,L3YN,L3YN,262,1367,2000-01-01 05:00:00,2000-01-01 09:30:00
1WDN7WDN4WDN9,Wizzar,QYI4,NYGU,NYGU,76,8393,2000-01-01 07:00:00,2000-01-01 11:30:00
1LEK2LEK1LEK8,Rayaner,SN2Q,U429,U429,117,8824,2000-01-01 04:30:00,2000-01-01 12:00:00
6PUP3PUP9PUP9,Lot,L3YN,U429,U429,120,6743,2000-01-01 06:30:00,2000-01-01 13:00:00
8XNS1XNS8XNS7,Wizzar,L3YN,SN2Q,SN2Q,133,2461,2000-01-01 09:30:00,2000-01-01 14:00:00
7JHM8JHM3JHM1,Rayaner,SN2Q,L3YN,L3YN,139,5546,2000-01-01 09:30:00,2000-01-01 14:30:00
4SLV8SLV2SLV6,Rayaner,7IPH,QYI4,QYI4,183,9049,2000-01-01 08:30:00,2000-01-01 15:00:00
1SFI4SFI2SFI7,Lot,HA6X,SN2Q,SN2Q,50,4716,2000-01-01 09:00:00,2000-01-01 15:00:00
7PLJ5PLJ1PLJ2,Lot,NYGU,QYI4,QYI4,102,8270,2000-01-01 10:00:00,2000-01-01 15:00:00
2LDM8LDM1LDM4,Wizzar,NYGU,YMVR,YMVR,142,5721,2000-01-01 06:30:00,2000-01-01 15:30:00
0BDJ8BDJ4BDJ7,Wizzar,QYI4,7IPH,7IPH,65,8152,2000-01-01 08:30:00,2000-01-01 15:30:00
7EHP1EHP9EHP3,Lot,L3YN,SN2Q,SN2Q,56,2478,2000-01-01 10:30:00,2000-01-01 15:30:00
9ZHY3ZHY4ZHY5,Rayaner,NYGU,QYI4,QYI4,85,4767,2000-01-01 11:30:00,2000-01-01 16:00:00
7RJK6RJK6RJK2,Wizzar,7IPH,NYGU,NYGU,236,3545,2000-01-01 06:00:00,2000-01-01 16:30:00
0ORZ4ORZ4ORZ3,Wizzar,NYGU,YMVR,YMVR,62,6674,2000-01-01 08:00:00,2000-01-01 17:00:00
7YVH0YVH8YVH1,Rayaner,U429,HA6X,HA6X,95,4857,2000-01-01 05:30:00,2000-01-01 18:00:00
8QBU2QBU6QBU5,Lot,U6PS,U429,U429,107,4160,2000-01-01 05:00:00,2000-01-01 18:30:00
9HBD2HBD1HBD8,Lot,SN2Q,HA6X,HA6X,235,6173,2000-01-01 12:30:00,2000-01-01 18:30:00
1RQI2RQI4RQI3,Lot,NYGU,QYI4,QYI4,118,8936,2000-01-01 14:00:00,2000-01-01 18:30:00
3QXO0QXO0QXO0,Rayaner,QYI4,7IPH,7IPH,154,2756,2000-01-01 12:30:00,2000-01-01 19:00:00
2WGF7WGF7WGF7,Rayaner,U429,SN2Q,SN2Q,202,3917,2000-01-01 12:00:00,2000-01-01 19:30:00
